10:17:05.152107 IP 112.26.0.8.36004 > 112.26.0.1.43445: Flags [S], seq 604036043, win 65535, options [mss 1460,sackOK,TS val 4294851649 ecr 0,nop,wscale 6,mptcp capable csum {0x5fe731cb2a0ffaa8}], length 0
10:17:05.176521 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [S.], seq 3411350881, ack 604036044, win 65535, options [mss 1460,sackOK,TS val 99544 ecr 4294851649,nop,wscale 6,mptcp capable csum {0x95b44a60aabf03a2}], length 0
10:17:05.353998 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [S.], seq 3411350881, ack 604036044, win 65535, options [mss 1460,sackOK,TS val 99544 ecr 4294851649,nop,wscale 6,mptcp capable csum {0x95b44a60aabf03a2}], length 0
10:17:05.472541 IP 112.26.0.8.36004 > 112.26.0.1.43445: Flags [.], ack 1, win 1369, options [nop,nop,TS val 4294854113 ecr 99544,mptcp capable csum {0x5fe731cb2a0ffaa8,0x95b44a60aabf03a2},mptcp dss ack 3866414399], length 0
10:17:05.475920 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], ack 1, win 1339, options [nop,nop,TS val 99849 ecr 4294854113,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 1720219151], length 0
10:17:05.489833 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], ack 1, win 1339, options [nop,nop,TS val 99849 ecr 4294854113,mptcp add-addr id 5 112.26.3.1,mptcp dss ack 1720219151], length 0
10:17:05.564018 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], ack 1, win 1339, options [nop,nop,TS val 99849 ecr 4294854113,mptcp add-addr id 6 112.26.2.1,mptcp dss ack 1720219151], length 0
10:17:35.685015 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 235433:236861, ack 1, win 4017, options [nop,nop,TS val 130057 ecr 4294883551,mptcp dss ack 1720219151 seq 3867013971 subseq 235433 len 1428 csum 0x1672], length 1428
10:17:35.706605 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 232577:234005, ack 1, win 4017, options [nop,nop,TS val 129786 ecr 4294883227,mptcp dss ack 1720219151 seq 3867001119 subseq 232577 len 1428 csum 0x9fb2], length 1428
10:17:35.789183 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 234005:235433, ack 1, win 4017, options [nop,nop,TS val 129963 ecr 4294883307,mptcp dss ack 1720219151 seq 3867008259 subseq 234005 len 1428 csum 0x918d], length 1428
10:17:35.873509 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 235433:236861, ack 1, win 4017, options [nop,nop,TS val 130057 ecr 4294883551,mptcp dss ack 1720219151 seq 3867013971 subseq 235433 len 1428 csum 0x1672], length 1428
10:17:56.227135 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 448205:449633, ack 1, win 4017, options [nop,nop,TS val 150473 ecr 4294903964,mptcp dss ack 1720219151 seq 3867933603 subseq 448205 len 1428 csum 0x841d], length 1428
10:18:18.385613 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 586721:588149, ack 1, win 4017, options [nop,nop,TS val 172736 ecr 4294918589,mptcp dss ack 1720219151 seq 3868431975 subseq 586721 len 1428 csum 0x59f0], length 1428
10:18:31.220200 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 739517:740945, ack 1, win 4017, options [nop,nop,TS val 185292 ecr 4294938884,mptcp dss ack 1720219151 seq 3868916067 subseq 739517 len 1428 csum 0x88d8], length 1428
10:18:31.247354 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 738089:739517, ack 1, win 4017, options [nop,nop,TS val 185222 ecr 4294938815,mptcp dss ack 1720219151 seq 3868913211 subseq 738089 len 1428 csum 0x62da], length 1428
